Locality,Locality_details,YYYY,MM,DD,DNA_extract,lat,lon,H6_str,HUC_8,HUC_10,HU_10_NAME,HU_8_Name,img_url,geometry
Sulphur Creek 125m from Bear Creek,Cache Creek,1998,5,5,401,39.039584,-122.40829,180201,18020116,1802011605,NA,Upper Cache,NA,"c(-122.40829, 39.039584)"
Sulphur Creek 190m from Bear Creek,Cache Creek,1998,5,5,403,39.039184,-122.40829,180201,18020116,1802011605,NA,Upper Cache,NA,"c(-122.40829, 39.039184)"
Scotchman up from falls,Off highway 20,1999,9,2,404,39.354734,-120.784413,180201,18020125,1802012507,NA,Upper Yuba,NA,"c(-120.784413, 39.354734)"
Scotchman above Omega,Off highway 20,1999,9,2,NA,39.316529,-120.773341,180201,18020125,1802012507,NA,Upper Yuba,NA,"c(-120.773341, 39.316529)"
Missouri Cyn,In Yuba,1999,8,31,NA,39.21583049,-120.9161759,180201,18020126,1802012601,NA,Upper Bear,NA,"c(-120.9161759, 39.21583049)"
"Humbug Creek, South Yuba",Malakoff Diggings 40 ft from lower inlet Humbug Creek,1999,8,20,NA,39.363711,-120.920977,180201,18020125,1802012507,NA,Upper Yuba,NA,"c(-120.920977, 39.363711)"
Jose Creek,Italia Bar rd 75 m upstream from Southern calif Edison Bridge,2000,6,5,NA,37.13978579,-119.3800525,180400,18040006,1804000610,NA,Upper San Joaquin,NA,"c(-119.3800525, 37.13978579)"
Esperanza Creek,unknown?,1994,7,15,372,38.29830222,-120.5212042,180400,18040011,1804001102,NA,Upper Calaveras California,NA,"c(-120.5212042, 38.29830222)"
NF American River,".75 mi. upstream of Iowa Hill Rd. at Mineral Bar, near Colfax",1994,7,1,NA,39.111151,-120.916844,180201,18020128,1802012801,NA,North Fork American,NA,"c(-120.916844, 39.111151)"
Mark West Springs Creek,At 1 mi. E. of Mark West Lodge,1994,10,5,NA,38.547572,-122.708638,180101,18010110,1801011007,NA,Russian,NA,"c(-122.708638, 38.547572)"
SF Eel River,200 m upstream from confluence w Skunk Creek,1994,8,8,NA,39.723834,-123.648253,180101,18010106,1801010601,NA,South Fork Eel,NA,"c(-123.648253, 39.723834)"
